project_id,owner.login,name,description,url,createdAt,archivedAt,autoMergeAllowed,assignableUsers.totalCount,primary_language,primary_language_ratio,secondary_language,secondary_language_ratio,other_languages,stargazers.totalCount,mirrorUrl,#cmt,#pr,#mpr
610939f8a6eb327cba047eca,apache,tapestry-5,A component-oriented framework for creating highly scalable web applications in Java.,https://github.com/apache/tapestry-5,2012-05-23T07:00:11Z,None,False,7,Java,0.52,JavaScript,0.37,"['Roff', 'Groovy', 'Less', 'CoffeeScript', 'CSS', 'HTML']",122,None,6311,24,0
61093a618d56179891397c7b,apache,reef,Mirror of Apache REEF,https://github.com/apache/reef,2014-10-23T07:00:10Z,2022-08-04T01:33:12Z,False,12,Java,0.53,C#,0.45,"['C++', 'Shell', 'Dockerfile', 'Python', 'PowerShell', 'Scala']",94,None,3952,1502,38
61093ee18d56179891397c7c,apache,juddi,Mirror of Apache jUDDI,https://github.com/apache/juddi,2014-02-21T08:00:09Z,2023-02-27T20:55:06Z,False,6,Java,0.80,C#,0.17,"['JavaScript', 'HTML', 'Batchfile', 'Shell', 'CSS']",18,None,3119,3,3
6110d80c27ad48a9ceb48659,apache,velocity-engine,Mirror of Apache Velocity Engine,https://github.com/apache/velocity-engine,2013-11-22T08:00:13Z,None,False,7,Java,0.99,Velocity Template Language,0.01,['Shell'],381,None,4833,19,8
6110d8254064fcb5083898b9,apache,velocity-tools,Mirror of Apache Velocity Tools,https://github.com/apache/velocity-tools,2013-11-22T08:00:14Z,None,False,6,Java,0.99,CSS,0.00,['HTML'],46,None,1905,3,2
6110e8974064fcb5083898ba,apache,karaf-cellar,Mirror of Apache Karaf Cellar,https://github.com/apache/karaf-cellar,2011-05-22T07:00:07Z,None,False,11,Java,0.96,CSS,0.03,['JavaScript'],47,None,2557,81,59
61435682b0e435ddc69c115a,apache,maven-archetype,Apache Maven Archetype (Plugin),https://github.com/apache/maven-archetype,2009-05-21T08:40:29Z,None,False,28,Java,0.94,Groovy,0.05,"['HTML', 'Shell', 'XSLT', 'C']",145,None,1764,81,33
61486e4edde5881c37c6143f,apache,maven-doxia,Apache Maven Doxia base,https://github.com/apache/maven-doxia,2009-05-21T03:16:25Z,None,False,28,Java,0.99,HTML,0.01,"['Groovy', 'Shell']",28,None,1967,70,30
6149f43cb0e435ddc69c115b,apache,maven-scm,Apache Maven SCM (Plugin),https://github.com/apache/maven-scm,2009-05-21T00:33:04Z,None,False,26,Java,0.98,Shell,0.01,"['Groovy', 'CSS']",97,None,2183,126,40
614d90dff4bb27b887c2f3ed,apache,maven-surefire,Apache Maven Surefire,https://github.com/apache/maven-surefire,2010-08-12T03:32:41Z,None,False,35,Java,1.00,HTML,0.00,"['Shell', 'Gherkin', 'Groovy']",426,None,3317,358,148
61541ebab0e435ddc69c115c,apache,maven-wagon,Apache Maven Wagon,https://github.com/apache/maven-wagon,2009-05-20T02:01:12Z,None,False,26,Java,0.92,HTML,0.06,['Shell'],45,None,1484,76,19
615b1a1514fce7546046bf26,apache,oodt,Mirror of Apache OODT,https://github.com/apache/oodt,2013-01-21T08:00:15Z,2023-07-03T18:39:01Z,False,11,Java,0.89,Python,0.02,"['HTML', 'Shell', 'CSS', 'Roff', 'JavaScript', 'PHP']",63,None,2883,119,68
615c13af3298191e9c3db4e3,apache,portals-pluto,Mirror of Apache Pluto,https://github.com/apache/portals-pluto,2014-05-23T07:00:07Z,None,False,9,Java,0.96,JavaScript,0.04,"['CSS', 'HTML', 'XSLT', 'Batchfile']",24,None,3320,26,16
615e90db3044794dcc96fe1e,apache,qpid-jms,Mirror of Apache Qpid JMS,https://github.com/apache/qpid-jms,2014-09-24T07:00:07Z,None,False,11,Java,0.99,XSLT,0.01,['HTML'],75,None,2305,44,8
6161afe13298191e9c3db4e4,apache,sis,Java language library for developing geospatial applications following OGC/ISO standards.,https://github.com/apache/sis,2013-06-11T07:00:15Z,None,False,8,Java,1.00,HTML,0.00,"['Shell', 'CSS', 'Batchfile']",99,None,7524,23,10
616813a52d6371da535b391f,apache,uima-ducc,Apache UIMA Ducc,https://github.com/apache/uima-ducc,2023-07-18T13:08:57Z,None,False,7,Java,0.53,HTML,0.31,"['TeX', 'JavaScript', 'Python', 'CSS', 'C', 'Shell']",1,None,5018,6,0
5e715356b17d31206492bf58,apache,avro,Apache Avro is a data serialization system.,https://github.com/apache/avro,2009-05-21T02:48:37Z,None,False,25,Java,0.48,C#,0.16,"['C', 'C++', 'Python', 'JavaScript', 'PHP', 'Ruby']",2987,None,2788,1379,854
61699f852d6371da535b3920,apache,usergrid,Mirror of Apache Usergrid,https://github.com/apache/usergrid,2013-11-05T08:00:14Z,2024-06-07T16:04:09Z,False,12,Java,0.66,HTML,0.18,"['JavaScript', 'PHP', 'Python', 'Objective-C', 'CSS', 'Ruby']",990,None,11187,620,465
5bc0509e0da3ef0ddd6d593e,apache,james-project,Emails at the heart of your business logic!,https://github.com/apache/james-project,2015-07-11T07:00:06Z,None,False,16,Java,0.86,Scala,0.13,"['HTML', 'CSS', 'JavaScript', 'Gherkin', 'XSLT', 'Shell']",912,None,5764,282,23
