project,nc,nbfc,nbfc_a,nbfc_io,nbfc_v,nbfc_if,nbic,nbic_szz,nbic_jl+r,nbic_jlip+r,nbic_jlmiv,nbic_jlmiv+,nbic_jlmiv+av,nbic_jlmiv+rav,nbic_jlmiv+r
xerces2-j,7787,344,334,330,0,330,403,370,317,0,0,0,0,0,0
tez,3683,2588,2482,2327,0,2327,1675,1673,918,675,0,0,0,0,0
storm,13097,3942,2019,3894,0,3894,1458,1453,378,277,0,0,0,0,0
flume,2559,1335,1320,1206,0,1206,956,953,470,338,0,0,0,0,0
pdfbox,10413,4020,4006,3920,0,3920,2534,2533,2039,1987,0,0,0,0,0
nifi,5376,2855,2669,2286,0,2286,2147,2138,1023,882,0,0,0,0,0
commons-imaging,1066,83,62,64,26,64,156,146,62,0,0,0,0,0,0
derby,10973,6618,6375,5054,0,5054,4747,4734,1435,1313,0,0,0,0,0
ranger,3785,2649,2587,2477,0,2477,1674,1662,1003,597,0,0,0,0,0
directory-fortress-core,1617,233,192,220,52,220,335,324,165,161,137,66,66,65,65
phoenix,11006,6769,0,6769,0,6769,3128,0,3128,2367,0,0,0,0,0
helix,3712,308,0,308,0,308,198,0,198,100,0,0,0,0,0
jena,21365,963,0,963,0,963,698,0,698,597,0,0,0,0,0
httpcomponents-client,3706,689,0,689,0,689,574,0,574,548,0,0,0,0,0
httpcomponents-core,3905,329,0,329,0,329,249,0,249,229,0,0,0,0,0
streams,1945,258,0,258,0,258,158,0,158,122,0,0,0,0,0
samza,2274,899,0,899,0,899,305,0,305,166,0,0,0,0,0
roller,4798,436,0,436,0,436,220,0,220,192,0,0,0,0,0
mina-sshd,1865,399,0,399,0,399,505,0,505,429,0,0,0,0,0
jackrabbit,13432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oozie,3112,1647,0,1647,0,1647,706,0,706,518,0,0,0,0,0
activemq,12522,4216,0,4216,0,4216,2396,0,2396,2237,0,0,0,0,0
maven,12594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airavata,9513,844,0,844,0,844,1108,0,1108,683,0,0,0,0,0
openjpa,7270,2745,0,2745,0,2745,1197,0,1197,1066,0,0,0,0,0
directory-studio,6061,484,0,484,0,484,404,0,404,388,0,0,0,0,0
xmlgraphics-batik,3760,60,0,60,0,60,96,0,96,93,0,0,0,0,0
curator,3131,244,0,244,0,244,198,0,198,185,0,0,0,0,0
directory-kerby,2074,191,0,191,0,191,258,0,258,201,0,0,0,0,0
fineract,6113,378,0,378,0,378,314,0,314,174,0,0,0,0,0
freemarker,3370,42,0,42,0,42,104,0,104,42,0,0,0,0,0
openwebbeans,4271,1094,0,1094,0,1094,1229,0,1229,756,0,0,0,0,0
commons-jexl,3276,294,236,264,163,264,534,527,264,259,389,243,243,229,229
commons-scxml,1216,155,109,123,67,123,309,279,91,74,107,62,62,59,59
cxf-fediz,2547,97,0,97,0,97,82,0,82,61,0,0,0,0,0
zookeeper,2952,1914,1837,1671,0,1671,1177,1170,437,382,0,0,0,0,0
tapestry-5,6311,3254,3191,1455,0,1455,0,0,0,0,0,0,0,0,0
reef,3952,389,0,389,0,389,141,0,141,97,0,0,0,0,0
juddi,3119,801,0,801,0,801,616,0,616,488,0,0,0,0,0
velocity-engine,4833,256,0,256,0,256,439,0,439,417,0,0,0,0,0
velocity-tools,1905,47,0,47,0,47,37,0,37,36,0,0,0,0,0
