project,npr,fprd,lprd,nmpr,nrpr,nmpr_all,nmpr_partial,nmpr_none,nmpr_nc==0,nmpr_nc==1,nmpr_1<nc<=5,nmpr_5<nc<=10,nmpr_10<nc<=20,nmpr_20<nc<=30,nmpr_30<nc,nmbfpr,nmbfpr_a,nmbfpr_io,nmbfpr_v,nmbfpr_if,nmbipr,nmbipr_szz,nmbipr_jl+r,nmbipr_jlmiv,nmbipr_jlmiv+,nmbipr_jlmiv+av,nmbipr_jlmiv+rav,nmbipr_jlmiv+r,nmbipr_jlip+r,nmbipr_jlmivlv
karaf-cellar,81,2014-05-29T22:33:57.000000,2021-03-27T17:53:22.000000,59,22,54,0,5,0,50,53,1,0,0,0,8,0,8,0,8,1,,1,,,,,,1,
maven-archetype,81,2011-04-06T15:14:24.000000,2021-10-12T04:50:29.000000,33,27,11,0,22,0,10,11,0,0,0,0,1,0,1,0,1,1,,1,,,,,,1,
maven-doxia,70,2015-02-17T09:36:40.000000,2021-09-03T12:01:27.000000,30,40,5,0,25,0,5,5,0,0,0,0,2,0,2,0,2,1,,1,,,,,,1,
maven-scm,126,2011-11-19T18:34:19.000000,2021-09-16T20:47:19.000000,40,80,23,0,17,0,14,20,2,1,0,0,6,0,6,0,6,6,,6,,,,,,6,
maven-surefire,358,2011-04-10T18:34:46.000000,2021-09-19T22:58:36.000000,148,186,71,1,77,1,57,67,2,1,0,0,30,0,30,0,30,23,,23,,,,,,19,
maven-wagon,76,2013-02-10T14:00:40.000000,2021-02-17T12:59:18.000000,19,54,18,0,1,0,15,17,1,0,0,0,7,0,7,0,7,5,,5,,,,,,5,
oodt,119,2014-01-30T04:51:18.000000,2021-10-03T06:48:48.000000,68,48,58,0,10,0,23,41,8,5,3,1,16,0,16,0,16,7,,7,,,,,,6,
portals-pluto,26,2016-06-03T13:05:07.000000,2019-09-23T13:16:45.000000,16,8,16,0,0,0,5,9,2,4,1,0,4,4,3,0,3,10,10,10,,,,,,6,
qpid-jms,44,2015-02-27T17:23:34.000000,2021-10-26T08:58:11.000000,8,29,8,0,0,0,8,8,0,0,0,0,3,3,3,0,3,0,,,,,,,,,
sis,23,2016-08-06T19:28:04.000000,2021-10-14T13:10:19.000000,10,12,10,0,0,0,4,8,1,0,0,1,1,1,0,0,0,1,1,1,,,,,,1,
uima-ducc,6,2019-04-14T01:18:24.000000,2019-11-10T13:39:52.000000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
avro,1379,2011-06-08T15:03:33.000000,2021-10-26T06:14:52.000000,854,418,47,0,807,0,33,44,2,0,1,0,14,13,10,0,10,14,14,4,,,,,,4,
usergrid,620,2013-11-25T17:57:16.000000,2020-12-17T13:01:08.000000,465,134,451,1,13,0,155,340,55,35,12,9,45,12,44,0,44,29,23,21,,,,,,19,
james,282,2015-10-15T11:09:53.000000,2021-01-02T06:42:42.000000,23,231,8,0,16,1,3,7,0,0,0,0,4,0,4,0,4,0,,,,,,,,,
