project,nc,fcd,lcd,nbfc,nbfc_a,nbfc_io,nbfc_v,nbfc_if,nbic,nbic_szz,nbic_jl+r,nbic_jlip+r,nbic_jlmiv,nbic_jlmiv+,nbic_jlmiv+av,nbic_jlmiv+rav,nbic_jlmiv+r
pig,5064,2009-03-05T01:04:06.000000,2018-06-05T14:34:06.000000,3105,2962,2837,0,2837,2092,2081,1078,839,0,0,0,0,0
falcon,2550,2011-11-24T03:46:09.000000,2018-04-17T08:53:32.000000,1073,1038,980,316,980,891,891,470,402,380,302,302,291,291
xerces2-j,7787,1999-11-09T01:10:52.000000,2018-08-07T04:40:58.000000,344,334,330,0,330,403,370,317,0,0,0,0,0,0
tez,3683,2013-03-15T21:49:28.000000,2018-08-16T18:19:24.000000,2588,2482,2327,0,2327,1675,1673,918,675,0,0,0,0,0
storm,13097,2011-09-16T05:20:45.000000,2018-08-23T13:47:26.000000,3942,2019,3894,0,3894,1458,1453,378,277,0,0,0,0,0
flume,2559,2011-08-02T16:00:19.000000,2018-10-15T09:18:41.000000,1335,1320,1206,0,1206,956,953,470,338,0,0,0,0,0
pdfbox,10413,2008-02-10T18:26:16.000000,2018-10-15T15:57:44.000000,4020,4006,3920,0,3920,2534,2533,2039,1987,0,0,0,0,0
nifi,5376,2014-12-08T20:22:14.000000,2018-10-24T07:26:41.000000,2855,2669,2286,0,2286,2147,2138,1023,882,0,0,0,0,0
commons-imaging,1066,2007-10-06T05:00:16.000000,2018-10-30T08:17:36.000000,83,62,64,26,64,156,146,62,0,0,0,0,0,0
derby,10973,2004-08-11T21:07:37.000000,2018-10-18T14:27:03.000000,6618,6375,5054,0,5054,4747,4734,1435,1313,0,0,0,0,0
ranger,3785,2014-08-14T20:48:58.000000,2019-01-13T20:07:34.000000,2649,2587,2477,0,2477,1674,1662,1003,597,0,0,0,0,0
directory-fortress-core,1617,2011-09-11T18:28:10.000000,2019-03-17T22:33:32.000000,233,192,220,52,220,335,324,165,161,137,66,66,65,65
phoenix,11006,2014-01-27T19:16:01.000000,2019-04-04T20:15:38.000000,6769,0,6769,0,6769,3128,0,3128,2367,0,0,0,0,0
helix,3712,2011-06-22T01:56:46.000000,2019-04-12T16:39:45.000000,308,0,308,0,308,198,0,198,100,0,0,0,0,0
jena,21365,2002-12-19T19:02:56.000000,2019-04-12T17:27:00.000000,963,0,963,0,963,698,0,698,597,0,0,0,0,0
httpcomponents-client,3706,2005-12-21T18:47:13.000000,2019-05-03T14:28:40.000000,689,0,689,0,689,574,0,574,548,0,0,0,0,0
httpcomponents-core,3905,2005-02-08T21:51:02.000000,2019-09-25T14:22:59.000000,329,0,329,0,329,249,0,249,229,0,0,0,0,0
streams,1945,2012-11-20T13:51:26.000000,2019-08-07T18:46:34.000000,258,0,258,0,258,158,0,158,122,0,0,0,0,0
samza,2274,2013-08-12T16:19:28.000000,2019-09-27T20:53:49.000000,899,0,899,0,899,305,0,305,166,0,0,0,0,0
